node_id,cluster,weight,volume,lat
1,0,87.657,0.38341,300
2,3,15.95,0.06865,180
3,4,19.709,0.08752,300
4,0,31.995,0.10035,300
5,0,0.68,0.00508,300
6,4,1.445,0.01369,360
7,3,4.008,0.01666,180
8,0,1.648,0.00621,300
9,4,36.525,0.08085,300
10,0,44.986,0.09939,300
11,0,42.332,0.1012,300
12,4,43.83,0.09702,300
13,4,8.206,0.18442,300
14,4,11.757,0.02694,300
15,0,2.064,0.00366,300
16,3,6.287,0.03622,180
17,4,12.5,0.02481,300
18,3,6.4,0.03507,180
19,1,0.304,0.003,300
20,5,0.355,0.0017,180
21,1,1.699,0.0032,300
22,1,22.63,0.12536,300
23,1,5.705,0.07202,300
24,6,7.91,0.02005,360
25,6,2.234,0.00466,300
26,5,0.48,0.00194,180
27,6,1.421,0.00256,360
28,5,30.301,0.04118,180
29,1,46.7,0.70737,300
30,6,66.36,0.24107,360
31,5,45.936,0.0913,180
32,2,0.85,0.00592,300
33,2,36.525,0.08085,300
34,2,0.798,0.05213,300
35,1,3.902,0.00725,300
36,1,21.107,0.04216,300
37,2,2.415,0.00879,300
38,2,3.015,0.01033,300
39,2,0.368,0.00099,300
40,2,43.83,0.09702,300
41,6,59.462,0.25106,360
42,6,14.844,0.1044,360
43,6,54.218,0.26465,360
44,1,5.227,0.00934,300
45,1,19.175,0.04469,300
46,6,6.402,0.01137,300
47,1,1.292,0.00325,300
48,1,7.01,0.01405,300
49,1,6.289,0.01267,300
50,1,0.408,0.00305,300
51,5,14.3,0.09658,180
52,5,6.66,0.09378,180
53,5,0.17,0.00085,180
54,0,19.84,0.05703,300
55,5,29.704,0.12778,180
56,0,0.69,0.00151,300
57,0,2.539,0.00473,300
58,5,25.26,0.10191,180
59,0,21.915,0.04851,300
60,1,0.379,0.00352,300
61,6,199.598,0.75786,360
62,6,21.032,0.434,360
63,4,143.608,0.74778,300
64,2,15.048,0.05064,300
65,4,1.242,0.00452,300
66,4,2.484,0.00904,300
67,4,1.2,0.00308,300
68,2,43.83,0.09702,300
69,3,18.64,0.0768,180
70,6,11.462,0.07972,360
71,6,51.406,0.25378,360
72,5,10.92,0.029,180
73,6,0.108,0.00086,360
74,6,7.242,0.08382,360
75,6,0.07,0.0014,360
76,6,15.795,0.1453,360
77,6,305.19,1.95178,360
78,6,13.015,0.04691,300
